method,K,angle_deg,metric,n,mean,std
FA B-F@40k,1,270,FD,5,0.32874,0.0004277849927241315
FA B-F@40k,1,270,RIR_to_GT_RIR_R@1,5,5.179119999999999,0.18249964931473175
FA B-F@40k,1,270,RIR_to_GT_RIR_R@5,5,16.07068,0.24941597182217504
FA B-F@40k,1,270,RIR_to_GT_RIR_R@10,5,23.69576,0.13645751353443317
FA B-F@40k,1,270,RIR_to_geom_R@1,5,3.5000800000000005,0.1269569690879552
FA B-F@40k,1,270,RIR_to_geom_R@5,5,11.6869,0.18987746048438756
FA B-F@40k,1,270,RIR_to_geom_R@10,5,18.0022,0.24709009490467315
FA B-F@40k,8,0,T60,5,8.20168,0.017218217097016826
FA B-F@40k,8,0,C50,5,0.9778399999999999,0.0015501612819316766
FA B-F@40k,8,0,EDT,5,38.793060000000004,0.07404233923911349
FA B-F@40k,8,0,FD,5,0.33314,8.944271909998174e-05
FA B-F@40k,8,0,RIR_to_GT_RIR_R@1,5,5.39688,0.06409989859586375
FA B-F@40k,8,0,RIR_to_GT_RIR_R@5,5,16.446279999999998,0.05736158993612274
FA B-F@40k,8,0,RIR_to_GT_RIR_R@10,5,24.19758,0.1638291243949011
FA B-F@40k,8,0,RIR_to_geom_R@1,5,4.184939999999999,0.06545000381970983
FA B-F@40k,8,0,RIR_to_geom_R@5,5,14.091859999999997,0.13249980377343926
FA B-F@40k,8,0,RIR_to_geom_R@10,5,21.10778,0.1552939052248998
FA B-F@40k,8,90,T60,5,8.201500000000001,0.017149052451957827
FA B-F@40k,8,90,C50,5,0.9779,0.001528070678993624
FA B-F@40k,8,90,EDT,5,38.79568,0.07446211788554098
FA B-F@40k,8,90,FD,5,0.33316,0.00011401754250990124
FA B-F@40k,8,90,RIR_to_GT_RIR_R@1,5,5.3811,0.08857928651778582
FA B-F@40k,8,90,RIR_to_GT_RIR_R@5,5,16.446260000000002,0.06253529403464783
FA B-F@40k,8,90,RIR_to_GT_RIR_R@10,5,24.181800000000003,0.15078068510256873
FA B-F@40k,8,90,RIR_to_geom_R@1,5,3.49064,0.12982375745602204
FA B-F@40k,8,90,RIR_to_geom_R@5,5,12.046719999999999,0.16309738501889004
FA B-F@40k,8,90,RIR_to_geom_R@10,5,18.112679999999997,0.16379049728235112
FA B-F@40k,8,180,T60,5,8.20248,0.017379211719752485
FA B-F@40k,8,180,C50,5,0.97782,0.0015073154945133653
FA B-F@40k,8,180,EDT,5,38.79504000000001,0.0745913399799199
FA B-F@40k,8,180,FD,5,0.33316,0.00011401754250990124
FA B-F@40k,8,180,RIR_to_GT_RIR_R@1,5,5.384259999999999,0.09162263912374485
FA B-F@40k,8,180,RIR_to_GT_RIR_R@5,5,16.45574,0.043780166742486894
FA B-F@40k,8,180,RIR_to_GT_RIR_R@10,5,24.1881,0.18852373855830526
FA B-F@40k,8,180,RIR_to_geom_R@1,5,3.80938,0.10967334224869776
FA B-F@40k,8,180,RIR_to_geom_R@5,5,12.968279999999998,0.12595430520629328
FA B-F@40k,8,180,RIR_to_geom_R@10,5,20.170440000000003,0.11011833634776735
FA B-F@40k,8,270,T60,5,8.201919999999998,0.017130732617141587
FA B-F@40k,8,270,C50,5,0.9778399999999999,0.0015076471735787757
FA B-F@40k,8,270,EDT,5,38.793060000000004,0.07359247923531279
FA B-F@40k,8,270,FD,5,0.33316,0.00011401754250990124
FA B-F@40k,8,270,RIR_to_GT_RIR_R@1,5,5.38742,0.09175877069795549
FA B-F@40k,8,270,RIR_to_GT_RIR_R@5,5,16.465220000000002,0.05534859528479477
FA B-F@40k,8,270,RIR_to_GT_RIR_R@10,5,24.188100000000002,0.1637524350963983
FA B-F@40k,8,270,RIR_to_geom_R@1,5,3.5474000000000006,0.12244057742431629
FA B-F@40k,8,270,RIR_to_geom_R@5,5,12.0246,0.10408686276375112
FA B-F@40k,8,270,RIR_to_geom_R@10,5,18.19788,0.1507120167737126
