method,K,angle_deg,seed,source_json,T60,C50,EDT,FD,RIR_to_GT_RIR_R@1,RIR_to_GT_RIR_R@5,RIR_to_GT_RIR_R@10,RIR_to_geom_R@1,RIR_to_geom_R@5,RIR_to_geom_R@10
FA B-F@40k,1,45,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_1_s45_fa_invariant_a4_rot45.json,10.9423,1.1631,43.832,0.3345,3.7873,12.0877,19.2205,2.9667,10.0205,15.7172
FA B-F@40k,1,45,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot45_unseeneval_1_s46_fa_invariant_a4_rot45.json,10.9867,1.1633,43.675,0.3341,3.7557,12.2298,18.8417,3.235,10.2572,15.6383
FA B-F@40k,1,90,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_1_s42_fa_invariant_a4_rot90.json,9.4845,1.0548,41.2369,0.3284,5.2549,15.733,23.6547,3.5506,11.5196,17.8791
FA B-F@40k,1,90,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_1_s43_fa_invariant_a4_rot90.json,9.5283,1.0563,42.0493,0.3291,4.955,16.1748,23.9388,3.4875,11.7721,17.6898
FA B-F@40k,1,90,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_1_s44_fa_invariant_a4_rot90.json,9.6093,1.0624,42.0143,0.3293,5.3811,16.0013,23.5127,3.3928,11.8668,17.8791
FA B-F@40k,1,90,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_1_s45_fa_invariant_a4_rot90.json,9.5016,1.0512,41.9087,0.3285,5.0181,16.0959,23.7652,3.1718,11.7406,17.5635
FA B-F@40k,1,90,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_a6_FA40_rot90_unseeneval_1_s46_fa_invariant_a4_rot90.json,9.5825,1.0553,41.5616,0.3284,5.2706,16.4273,23.6389,3.4243,11.5985,17.5477
FA B-F@40k,8,0,42,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp11_C4backfill_S40000_s42_K8_fa_invariant_a4.json,8.189,0.9805,38.8102,0.3332,5.3495,16.3484,24.2386,4.1187,14.0761,21.193
FA B-F@40k,8,0,43,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s43_fa_invariant_a4.json,8.1979,0.9778,38.7222,0.3332,5.318,16.4747,24.1755,4.1502,13.9814,20.9089
FA B-F@40k,8,0,44,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s44_fa_invariant_a4.json,8.22,0.9766,38.912,0.333,5.46,16.4747,24.4122,4.1502,14.0918,21.3035
FA B-F@40k,8,0,45,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s45_fa_invariant_a4.json,8.1824,0.9773,38.7474,0.3331,5.46,16.4905,24.207,4.2765,14.3128,21.1299
FA B-F@40k,8,0,46,/home/yixunhu/codespace/FLAC/outputs_FLAC/exp07_BF/FLAC_exp07_BF/exp07_BF/checkpoints/epoch=8-step=40000_metrics_1_1.0_exp10_BF40_K8_s46_fa_invariant_a4.json,8.2191,0.977,38.7735,0.3332,5.3969,16.4431,23.9546,4.2291,13.9972,21.0036
